date,price
2021-06-28,32.92778
2021-06-29,33.866802
2021-06-30,35.556404
2021-07-01,33.404034
2021-07-02,34.020481
2021-07-03,34.478817
2021-07-04,34.3106
2021-07-05,32.984589
2021-07-06,34.269138
2021-07-07,36.59137
2021-07-08,33.203728
2021-07-09,33.264648
2021-07-10,31.788645
2021-07-11,32.177841
2021-07-12,30.848087
2021-07-13,29.121189
2021-07-14,31.281
2021-07-15,28.452101
2021-07-16,26.370008
2021-07-17,26.721668
2021-07-18,26.751909
2021-07-19,24.447577
2021-07-20,23.489555
2021-07-21,26.623079
2021-07-22,27.702082
2021-07-23,28.51388
2021-07-24,28.70262
2021-07-25,28.168774
2021-07-26,28.306643
2021-07-27,28.065327
2021-07-28,27.815411
2021-07-29,31.281137
2021-07-30,32.393944
2021-07-31,36.827312
2021-08-01,34.25436
2021-08-02,33.22242
2021-08-03,33.996441
2021-08-04,35.763626
2021-08-05,37.355137
2021-08-06,39.446102
2021-08-07,39.403473
2021-08-08,37.673824
2021-08-09,38.767784
2021-08-10,40.639797
2021-08-11,41.744114
2021-08-12,41.099361
2021-08-13,44.894501
2021-08-14,44.11285
2021-08-15,53.745159
2021-08-16,62.432465
2021-08-17,64.210709
2021-08-18,72.543312
2021-08-19,72.757607
2021-08-20,78.724617
2021-08-21,73.75621
2021-08-22,72.803917
2021-08-23,75.708038
2021-08-24,70.670906
2021-08-25,71.951569
2021-08-26,75.316208
2021-08-27,88.086983
2021-08-28,96.703171
2021-08-29,94.469673
2021-08-30,110.544807
2021-08-31,108.483772
2021-09-01,111.033005
2021-09-02,128.102386
2021-09-03,146.583054
2021-09-04,139.113068
2021-09-05,142.070877
2021-09-06,164.38092
2021-09-07,173.148926
2021-09-08,191.041397
2021-09-09,188.195801
2021-09-10,179.865234
2021-09-11,178.867874
2021-09-12,174.537628
2021-09-13,169.269547
2021-09-14,158.094818
2021-09-15,159.117386
2021-09-16,152.47406
2021-09-17,147.593063
2021-09-18,169.184219
2021-09-19,152.516693
2021-09-20,132.13446
2021-09-21,123.950394
2021-09-22,147.924255
2021-09-23,149.753571
2021-09-24,139.395645
2021-09-25,136.178925
2021-09-26,135.699371
2021-09-27,136.728424
2021-09-28,131.537216
2021-09-29,135.351456
2021-09-30,141.069046
2021-10-01,161.682373
2021-10-02,169.093018
2021-10-03,172.589157
2021-10-04,166.731918
2021-10-05,164.115829
2021-10-06,154.107742
2021-10-07,154.281189
2021-10-08,158.949203
2021-10-09,156.825836
2021-10-10,148.048706
2021-10-11,144.858139
2021-10-12,152.737122
2021-10-13,148.176041
2021-10-14,149.756805
2021-10-15,162.596207
2021-10-16,157.538818
2021-10-17,159.743805
2021-10-18,157.231277
2021-10-19,156.017029
2021-10-20,175.946869
2021-10-21,190.318436
2021-10-22,196.431534
2021-10-23,197.703857
2021-10-24,202.361984
2021-10-25,210.104294
2021-10-26,199.807251
2021-10-27,183.774597
2021-10-28,194.863983
2021-10-29,200.182755
2021-10-30,195.416061
2021-10-31,202.421021
2021-11-01,203.54509
2021-11-02,220.239594
2021-11-03,242.898819
2021-11-04,247.387772
2021-11-05,236.474335
2021-11-06,258.934326
2021-11-07,249.823486
2021-11-08,248.467178
2021-11-09,239.213135
2021-11-10,233.779526
2021-11-11,234.240753
2021-11-12,228.50209
2021-11-13,241.825027
2021-11-14,238.425522
2021-11-15,237.553604
2021-11-16,219.239029
2021-11-17,218.71524
2021-11-18,195.487411
2021-11-19,215.280014
2021-11-20,218.015274
2021-11-21,231.282623
2021-11-22,215.737274
2021-11-23,221.836899
2021-11-24,214.921539
2021-11-25,206.252991
2021-11-26,191.511749
2021-11-27,193.102158
2021-11-28,200.676651
