date,price
2018-06-30,0.466245
2018-07-01,0.461358
2018-07-02,0.486122
2018-07-03,0.485223
2018-07-04,0.490043
2018-07-05,0.481625
2018-07-06,0.479151
2018-07-07,0.492477
2018-07-08,0.477749
2018-07-09,0.47427
2018-07-10,0.445042
2018-07-11,0.450233
2018-07-12,0.435364
2018-07-13,0.438741
2018-07-14,0.439271
2018-07-15,0.445894
2018-07-16,0.483401
2018-07-17,0.505587
2018-07-18,0.486389
2018-07-19,0.476433
2018-07-20,0.446994
2018-07-21,0.45541
2018-07-22,0.449311
2018-07-23,0.445276
2018-07-24,0.457623
2018-07-25,0.459829
2018-07-26,0.44992
2018-07-27,0.453635
2018-07-28,0.453667
2018-07-29,0.453306
2018-07-30,0.446107
2018-07-31,0.435225
2018-08-01,0.445852
2018-08-02,0.430254
2018-08-03,0.440571
2018-08-04,0.428507
2018-08-05,0.433638
2018-08-06,0.414081
2018-08-07,0.381006
2018-08-08,0.331944
2018-08-09,0.346771
2018-08-10,0.320426
2018-08-11,0.301262
2018-08-12,0.29787
2018-08-13,0.277466
2018-08-14,0.274272
2018-08-15,0.282005
2018-08-16,0.292436
2018-08-17,0.366676
2018-08-18,0.3271
2018-08-19,0.343978
2018-08-20,0.319283
2018-08-21,0.335177
2018-08-22,0.319803
2018-08-23,0.327709
2018-08-24,0.327606
2018-08-25,0.32823
2018-08-26,0.323776
2018-08-27,0.336903
2018-08-28,0.351837
2018-08-29,0.344803
2018-08-30,0.335444
2018-08-31,0.335332
2018-09-01,0.347721
2018-09-02,0.342523
2018-09-03,0.335961
2018-09-04,0.331652
2018-09-05,0.283601
2018-09-06,0.30271
2018-09-07,0.291435
2018-09-08,0.279333
2018-09-09,0.27868
2018-09-10,0.270321
2018-09-11,0.26371
2018-09-12,0.270087
2018-09-13,0.280583
2018-09-14,0.277159
2018-09-15,0.282008
2018-09-16,0.281166
2018-09-17,0.272251
2018-09-18,0.32186
2018-09-19,0.326053
2018-09-20,0.449918
2018-09-21,0.561462
2018-09-22,0.570798
2018-09-23,0.570689
2018-09-24,0.494712
2018-09-25,0.526941
2018-09-26,0.516308
2018-09-27,0.541381
2018-09-28,0.539112
2018-09-29,0.571228
2018-09-30,0.581572
2018-10-01,0.576461
2018-10-02,0.520837
2018-10-03,0.528162
2018-10-04,0.526606
2018-10-05,0.519026
2018-10-06,0.488082
2018-10-07,0.482039
2018-10-08,0.489751
2018-10-09,0.479857
2018-10-10,0.462387
2018-10-11,0.38313
2018-10-12,0.419115
2018-10-13,0.418878
2018-10-14,0.403286
2018-10-15,0.447316
2018-10-16,0.470253
2018-10-17,0.468197
2018-10-18,0.457725
2018-10-19,0.454178
2018-10-20,0.459151
2018-10-21,0.456694
2018-10-22,0.453109
2018-10-23,0.462058
2018-10-24,0.457237
2018-10-25,0.458052
2018-10-26,0.459288
2018-10-27,0.456348
2018-10-28,0.462406
2018-10-29,0.441514
2018-10-30,0.444759
2018-10-31,0.448382
2018-11-01,0.455722
2018-11-02,0.458685
2018-11-03,0.455667
2018-11-04,0.462691
2018-11-05,0.497412
2018-11-06,0.54908
2018-11-07,0.535707
2018-11-08,0.493508
2018-11-09,0.500668
2018-11-10,0.506698
2018-11-11,0.505913
2018-11-12,0.517165
2018-11-13,0.510112
2018-11-14,0.474372
2018-11-15,0.481708
2018-11-16,0.471609
2018-11-17,0.491654
2018-11-18,0.510473
2018-11-19,0.478166
2018-11-20,0.434726
2018-11-21,0.447651
2018-11-22,0.42608
2018-11-23,0.407428
2018-11-24,0.375336
2018-11-25,0.374551
2018-11-26,0.355451
2018-11-27,0.360163
2018-11-28,0.390557
2018-11-29,0.379562
2018-11-30,0.362455
2018-12-01,0.372906
2018-12-02,0.367627
2018-12-03,0.348754
2018-12-04,0.352231
2018-12-05,0.338242
2018-12-06,0.310936
2018-12-07,0.301997
2018-12-08,0.307269
2018-12-09,0.31337
2018-12-10,0.303766
2018-12-11,0.301345
2018-12-12,0.307323
2018-12-13,0.300026
2018-12-14,0.28879
2018-12-15,0.285883
2018-12-16,0.287929
2018-12-17,0.328453
2018-12-18,0.350162
2018-12-19,0.351956
2018-12-20,0.378199
2018-12-21,0.35857
2018-12-22,0.362308
2018-12-23,0.37127
2018-12-24,0.406799
2018-12-25,0.380872
2018-12-26,0.378693
2018-12-27,0.341162
2018-12-28,0.376852
2018-12-29,0.367252
2018-12-30,0.369581
2018-12-31,0.352706
2019-01-01,0.364771
2019-01-02,0.375243
2019-01-03,0.360224
2019-01-04,0.356747
2019-01-05,0.355275
2019-01-06,0.368395
2019-01-07,0.364347
2019-01-08,0.365315
2019-01-09,0.37089
2019-01-10,0.332652
2019-01-11,0.332904
2019-01-12,0.3288
2019-01-13,0.317863
2019-01-14,0.333766
2019-01-15,0.327179
2019-01-16,0.329701
2019-01-17,0.329353
2019-01-18,0.324277
2019-01-19,0.331001
2019-01-20,0.321177
2019-01-21,0.32079
2019-01-22,0.319491
2019-01-23,0.316492
2019-01-24,0.317598
2019-01-25,0.317165
2019-01-26,0.314235
2019-01-27,0.309439
2019-01-28,0.294863
2019-01-29,0.289558
2019-01-30,0.320461
2019-01-31,0.310036
2019-02-01,0.308517
2019-02-02,0.310912
2019-02-03,0.302352
2019-02-04,0.300198
2019-02-05,0.299239
2019-02-06,0.290727
2019-02-07,0.291618
2019-02-08,0.311683
2019-02-09,0.311284
2019-02-10,0.309909
2019-02-11,0.302741
2019-02-12,0.30519
2019-02-13,0.304284
2019-02-14,0.301909
2019-02-15,0.301759
2019-02-16,0.301703
2019-02-17,0.30337
2019-02-18,0.321568
2019-02-19,0.323768
2019-02-20,0.33288
2019-02-21,0.321291
2019-02-22,0.321904
2019-02-23,0.33262
2019-02-24,0.301443
2019-02-25,0.32851
2019-02-26,0.319477
2019-02-27,0.313106
2019-02-28,0.315078
2019-03-01,0.317312
2019-03-02,0.315126
2019-03-03,0.312554
2019-03-04,0.305133
2019-03-05,0.316507
2019-03-06,0.317031
2019-03-07,0.314766
2019-03-08,0.310087
2019-03-09,0.313826
2019-03-10,0.313107
2019-03-11,0.311065
2019-03-12,0.310201
2019-03-13,0.314098
2019-03-14,0.312955
2019-03-15,0.315052
2019-03-16,0.320468
2019-03-17,0.317612
2019-03-18,0.31744
2019-03-19,0.319281
2019-03-20,0.31961
2019-03-21,0.312718
2019-03-22,0.311541
2019-03-23,0.312359
2019-03-24,0.308992
2019-03-25,0.304055
2019-03-26,0.30506
2019-03-27,0.312465
2019-03-28,0.309246
2019-03-29,0.307929
2019-03-30,0.310632
2019-03-31,0.309229
2019-04-01,0.312747
2019-04-02,0.351499
2019-04-03,0.342234
2019-04-04,0.332513
2019-04-05,0.361803
2019-04-06,0.354405
2019-04-07,0.359856
2019-04-08,0.358234
2019-04-09,0.349462
2019-04-10,0.354792
2019-04-11,0.330984
2019-04-12,0.326346
2019-04-13,0.326031
2019-04-14,0.328809
2019-04-15,0.320913
2019-04-16,0.327218
2019-04-17,0.335453
2019-04-18,0.337065
2019-04-19,0.331902
2019-04-20,0.328476
2019-04-21,0.322449
2019-04-22,0.323934
2019-04-23,0.321222
2019-04-24,0.302318
2019-04-25,0.289384
2019-04-26,0.298502
2019-04-27,0.296741
2019-04-28,0.297426
2019-04-29,0.294289
2019-04-30,0.309476
2019-05-01,0.304696
2019-05-02,0.303239
2019-05-03,0.308222
2019-05-04,0.304552
2019-05-05,0.302342
2019-05-06,0.302389
2019-05-07,0.299684
2019-05-08,0.300721
2019-05-09,0.296509
2019-05-10,0.300387
2019-05-11,0.324543
2019-05-12,0.310074
2019-05-13,0.325475
2019-05-14,0.409062
2019-05-15,0.456005
2019-05-16,0.419707
2019-05-17,0.386193
2019-05-18,0.372736
2019-05-19,0.4177
2019-05-20,0.398003
2019-05-21,0.397603
2019-05-22,0.376637
2019-05-23,0.381204
2019-05-24,0.384541
2019-05-25,0.38704
2019-05-26,0.408413
2019-05-27,0.434168
2019-05-28,0.446549
2019-05-29,0.443713
2019-05-30,0.422395
2019-05-31,0.438574
2019-06-01,0.430583
2019-06-02,0.444785
2019-06-03,0.425764
2019-06-04,0.400667
2019-06-05,0.402732
2019-06-06,0.41954
2019-06-07,0.42313
2019-06-08,0.412411
2019-06-09,0.388266
2019-06-10,0.400427
2019-06-11,0.394261
2019-06-12,0.40176
2019-06-13,0.400887
2019-06-14,0.405921
2019-06-15,0.410419
2019-06-16,0.427516
2019-06-17,0.44808
2019-06-18,0.428761
2019-06-19,0.436817
2019-06-20,0.429823
2019-06-21,0.443188
2019-06-22,0.474764
2019-06-23,0.468291
2019-06-24,0.470088
2019-06-25,0.468229
2019-06-26,0.467451
2019-06-27,0.408754
2019-06-28,0.427315
2019-06-29,0.429378
2019-06-30,0.396411
2019-07-01,0.406862
2019-07-02,0.400204
2019-07-03,0.408532
2019-07-04,0.388719
2019-07-05,0.378964
2019-07-06,0.389055
2019-07-07,0.397047
2019-07-08,0.401533
2019-07-09,0.394168
2019-07-10,0.363775
2019-07-11,0.330335
2019-07-12,0.344118
2019-07-13,0.332179
2019-07-14,0.306426
2019-07-15,0.31531
2019-07-16,0.296726
2019-07-17,0.310613
2019-07-18,0.323176
2019-07-19,0.320605
2019-07-20,0.333209
2019-07-21,0.331309
2019-07-22,0.322106
2019-07-23,0.309926
2019-07-24,0.315947
2019-07-25,0.31481
2019-07-26,0.32353
2019-07-27,0.310528
2019-07-28,0.312288
2019-07-29,0.310658
2019-07-30,0.31847
2019-07-31,0.320909
2019-08-01,0.317906
2019-08-02,0.312394
2019-08-03,0.316757
2019-08-04,0.319842
2019-08-05,0.323564
2019-08-06,0.311326
2019-08-07,0.311969
2019-08-08,0.307661
2019-08-09,0.297343
2019-08-10,0.298721
2019-08-11,0.301915
2019-08-12,0.300322
2019-08-13,0.296639
2019-08-14,0.263343
2019-08-15,0.264882
2019-08-16,0.261971
2019-08-17,0.265721
2019-08-18,0.282646
2019-08-19,0.283328
2019-08-20,0.275806
2019-08-21,0.266261
2019-08-22,0.270944
2019-08-23,0.276545
2019-08-24,0.272553
2019-08-25,0.270088
2019-08-26,0.270788
2019-08-27,0.269618
2019-08-28,0.25745
2019-08-29,0.257045
2019-08-30,0.256218
2019-08-31,0.259204
2019-09-01,0.258054
2019-09-02,0.26082
2019-09-03,0.263139
2019-09-04,0.259905
2019-09-05,0.256346
2019-09-06,0.25234
2019-09-07,0.260687
2019-09-08,0.263084
2019-09-09,0.259562
2019-09-10,0.258671
2019-09-11,0.255956
2019-09-12,0.254811
2019-09-13,0.255551
2019-09-14,0.261167
2019-09-15,0.261628
2019-09-16,0.260952
2019-09-17,0.285013
